start_survey,end_survey,response_type,progress,duration_sec,is_finished,record_date,response_id,distribution_channel,user_lang,captcha_score,agree_term,academia_status,dept_prof,dept_students,first_line_code,years_coding,self_id_as_coder,read_prog_book,freq_oss_proj,what_os,time_cleaning_code,time_data_clean_prog,time_data_clean_gui,time_exp_manip,time_field_data_coll,time_grant_writing,time_lit_review,time_meeting,time_read_doc,time_digital_data_coll,time_paper_writing,self_expect_time_coding,value_comp_skills_wrt_domain,more_time_learning_to_code,pct_social_contacts_coding,comp_skills_factors_pursue_academia,comp_skills_pro_benefits_s,comp_skills_pro_benefits_p,comp_skills_recruiting,comp_skills_recruiting_undergrad,comp_skills_recruiting_grad,comp_skills_recruiting_postdoc,cite_code,cite_data,value_oss_license,value_coc,value_contrib_guide,value_cla,value_active,value_responsive_maintainers,value_welcoming_community,value_widespread_use,disadv_not_coding,coding_on_future_opportunities,value_share_code,value_accessibility_paper_code,value_paper_code_citability,value_learn_code_in_field,year_born,country_origin,us_state,do_del,comments,score,email,name_research_group,reason_coding,how_did_you_learn_code,position_industry,freq_coding_proj,use_lang,enough_instit_support,friends_help,perceived_benefits_coding,do_share_code_online,qualities_oss,why_not_coding,pref_pronouns,underrep_group,ethnicity,nb_advisors,third_adv_dept,third_adv_expect_time_coding,second_adv_dept,first_adv_dept,first_adv_expect_time_coding,second_adv_expect_time_coding,is_coder
2022-09-14 14:03:33,2022-09-14 14:20:07,IP Address,100,993,True,2022-09-14 14:20:08,R_1IzbZEKKlq8p3LG,anonymous,EN,0.8999999761581421,"Yes, I agree to the above terms.",Postdoctoral researcher,,,18 - 24 years,10 to 14 years,Maybe,Sometimes,Some of the software,,,,,,,,,,,,,,As valued as my research ability,,,,Extremely likely,,,,,,Cite directly git repository as a link,"Cite directly git repository as a link,Cite using bibtex, APA, MLA etc.,I cite their academic paper",Somewhat important to have,Very important to have,Not important,Not important,Somewhat important to have,Very important to have,Very important to have,Very important to have,,,Very important to have,Very important to have,Very important to have,,1991,United States of America,New Hampshire,,,4,Fill in the blank:,Fill in the blank:,Research,Books / printed  media,"Postdoctoral Research Associate, Product Engineer",On every project,"HTML/CSS,Javascript,Julia,Python","No and that's fine, I'm learning on my own",,"Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities,Other",Github,"Stability,User experience (ease of use),Compatibility,Transparency,Replicability,Community",,they/them,No,White or of European descent,,,,,,,,coder
2022-09-21 08:22:32,2022-09-21 08:25:33,IP Address,100,181,True,2022-09-21 08:25:35,R_2bQALTilEsOuSYa,email,EN,1,"Yes, I agree to the above terms.",Graduate student,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Not really, I do qualitative work",Neither likely nor unlikely,I don't know,I don't know,I don't know,Slightly important,1998,United States of America,Rhode Island,,,8,Fill in the blank:,I do not have any research group,I  do not know how to code,,,,,,,,,,"I do not want to learn to code.,I do not think this is for me",she/her,No,White or of European descent,I do not have an advisor yet,,,,,,,non coder
2022-09-21 08:42:36,2022-09-21 09:06:15,IP Address,100,1418,True,2022-09-21 09:06:17,R_2XbKRGKSSzN75H3,email,EN,0.8999999761581421,"Yes, I agree to the above terms.",Graduate student,,Community Development and Applied Economics M.S.,11 - 17 years,5 to 9 years,Maybe,Never,Some of the software,MacOS,1-5 hours,1-5 hours,1-5 hours,1-5 hours,1-5 hours,0 hour,1-5 hours,6-10 hours,1-5 hours,1-5 hours,1-5 hours,Slightly too little,Less valued than my research capacity,"Yes but that's fine, I'm learning while doing",70,Moderately important,Extremely likely,,,,,,I don't cite people's code,I have not cited people's data,Somewhat important to have,Very important to have,Somewhat important to have,Somewhat important to have,Somewhat important to have,Very important to have,Very important to have,Somewhat important to have,,,Somewhat important to have,Somewhat important to have,Very important to have,Extremely important,1999,United States of America,New Jersey,,,8,Fill in the blank:,Fill in the blank:,"School,Research,Work","School,Books / printed  media",Educator,Few projects,"C++,Java,Javascript,R,Stata",Yes,"Friends,Colleagues,Supervisor","Data Visualization,Database management,Interactive learning,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities",I do not share my code online,"Stability,Security,User experience (ease of use),Compatibility,Transparency,Customizability,Cost,Replicability,Trusted producer,Innovation,Support,Community",,she/her,No,White or of European descent,1,,,,Community Development and Applied Economics (CDAE),Neither too much nor too little,,coder
2022-09-21 09:16:00,2022-09-21 09:29:26,IP Address,100,806,True,2022-09-21 09:29:27,R_cuOoP9Pg7N0Z4UF,email,EN,0.8999999761581421,"Yes, I agree to the above terms.",Graduate student,,,11 - 17 years,2 to 4 years,Maybe,Never,Some of the software,Windows,6-10 hours,1-5 hours,1-5 hours,0 hour,0 hour,0 hour,11-15 hours,1-5 hours,1-5 hours,0 hour,0 hour,Slightly too much,As valued as my research ability,"Yes but that's fine, I'm learning while doing",90,Not at all important,Extremely likely,,,,,,"Cite directly git repository as a link,Cite using BibTeX, APA, MLA etc.,I cite their academic paper","Cite directly git repository as a link,Cite using bibtex, APA, MLA etc.,I cite their academic paper",Very important to have,Very important to have,Somewhat important to have,I do not know what it is,Very important to have,Very important to have,Somewhat important to have,Not important,,,Very important to have,Very important to have,Very important to have,Extremely important,1999,United States of America,Vermont,,,12,Fill in the blank:,Fill in the blank:,"School,Research,Work,Fun",Books / printed  media,Data scientist or machine learning specialist,On every project,"Matlab,Python,R,SQL",Yes,"Friends,Colleagues,Supervisor","Data Visualization,Database management,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities",I do not share my code online,"Stability,Compatibility,Transparency,Customizability,Cost,Replicability,Support,Community",,he/him,No,White or of European descent,1,,,,Civil & Environmental Engineering,Neither too much nor too little,,coder
2022-09-21 09:38:59,2022-09-21 09:44:08,IP Address,100,309,True,2022-09-21 09:44:09,R_1LIR3OGemrYF1mT,email,EN,1,"Yes, I agree to the above terms.",Undergraduate student,,Community Development and Applied Economics M.S.,11 - 17 years,2 to 4 years,Maybe,Never,Some of the software,MacOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,,this was incredibly long and I did not feel motivated to finish it,8,Fill in the blank:,Fill in the blank:,"School,Research,Work","Other online resources (videos, blogs, etc),School","I never worked in industry as developer,Other",Most projects,"C++,Java,Python,R,SQL",,,,,,,she/they,Prefer not to say,Prefer not to say,2,,,,Geography,,,coder
2022-09-21 10:05:04,2022-09-21 10:07:11,IP Address,100,126,True,2022-09-21 10:07:12,R_W7jQgY3sTlV8PpT,email,EN,0.8999999761581421,"Yes, I agree to the above terms.",Graduate student,,Public Administration M.P.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, a little bit",Somewhat unlikely,Somewhat important to have,I don't know,Very important to have,Moderately important,2000,United States of America,Connecticut,,,8,Fill in the blank:,I do not have any research group,I  do not know how to code,,,,,,,,,,"Lack of time,Too much work,I do not think this is for me",she/her,No,"Southeast Asian,White or of European descent",1,,,,,,,non coder
2022-09-21 10:35:07,2022-09-21 10:50:21,IP Address,100,913,True,2022-09-21 10:50:22,R_1Iud8jqUOwnZfGP,email,EN,1,"Yes, I agree to the above terms.",Graduate student,,Community Development and Applied Economics M.S.,25 - 34 years,2 to 4 years,No,Never,Always,Windows,1-5 hours,1-5 hours,0 hour,0 hour,0 hour,0 hour,1-5 hours,1-5 hours,0 hour,0 hour,1-5 hours,Far too much,Less valued than my research capacity,"Yes, I wish I had more time to learn programming",30,Very important,Extremely likely,,,,,,,,I do not know what it is,Very important to have,I do not know what it is,I do not know what it is,Somewhat important to have,Somewhat important to have,Somewhat important to have,Not important,,,Very important to have,Very important to have,Very important to have,Extremely important,1989,United States of America,Massachusetts,,"Hello Jonathan! There were a couple of questions about citing someone else's code that didn't provide a option for not having used someone else's code. Rather, there were two options for not having cited someone else's code. Also, there was a likert or ranking scale that I don't remember the topic of anymore, but it was worded such that I almost put in the opposite responses that I intended. I think some of the options were ""Very important to not have"" or some such and they could be clarified. Hope all goes well out there",10,Fill in the blank:,,"School,Research,Work",Online courses or certification,I never worked in industry as developer,Few projects,"Python,R",No and I wish there were,"Colleagues,Supervisor","Data Visualization,Database management,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities",Gitlab,"Stability,Security,User experience (ease of use),Transparency,Cost,Replicability,Support,Community",,he/him,Yes,"Multiracial,Southeast Asian,White or of European descent",1,,,,Economics,Far too much,,coder
2022-09-21 10:51:00,2022-09-21 11:03:34,IP Address,100,754,True,2022-09-21 11:03:35,R_2vZGqi8CGBnWJi2,anonymous,EN,1,"Yes, I agree to the above terms.",Graduate student,,"Complex Systems and Data Science Certificate of Graduate Study, M.S., Ph.D.",5 - 10 years,5 to 9 years,Yes,Never,Most of the software,Linux-based,1-5 hours,1-5 hours,0 hour,6-10 hours,0 hour,0 hour,1-5 hours,1-5 hours,0 hour,0 hour,0 hour,Slightly too much,As valued as my research ability,"Yes, I wish I had more time to learn programming",60,Moderately important,Extremely likely,,,,,,I have not cited people's code,Cite directly git repository as a link,Somewhat important to have,Very important not to have,I do not know what it is,I do not know what it is,Somewhat important to have,Somewhat important to have,Very important to have,Very important to have,,,Very important to have,Somewhat important to have,Somewhat important to have,Extremely important,1998,United States of America,Colorado,,,12,Fill in the blank:,Fill in the blank:,"School,Research,Work,Fun",Friend or family member,Data scientist or machine learning specialist,On every project,"C++,HTML/CSS,Javascript,Julia,Python",No and I wish there were,"Friends,Colleagues","Data Visualization,Database management,Data simulation,Numerical analysis,Science communication,Social good,Web scraping,Professional opportunities","Github,Gitlab","Stability,User experience (ease of use),Cost,Support,Community",,he/him,No,White or of European descent,2,,,Mathematics and Statistics,Mathematics and Statistics,Neither too much nor too little,Neither too much nor too little,coder
2022-09-21 12:03:29,2022-09-21 12:12:58,IP Address,100,569,True,2022-09-21 12:12:59,R_2c18v7Fr6LNP4tm,email,EN,1,"Yes, I agree to the above terms.",Graduate student,,,18 - 24 years,Less than 1 year,No,Never,Most of the software,MacOS,0 hour,0 hour,0 hour,0 hour,0 hour,0 hour,1-5 hours,1-5 hours,0 hour,0 hour,1-5 hours,Neither too much or too little,Not valued at all compared to my research ability,"Yes, I wish I had more time to learn programming",30,Slightly important,Extremely likely,,,,,,I have not cited people's code,I have not cited people's data,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Very important to have,Not important,,,Somewhat important to have,Very important to have,Very important to have,Slightly important,1998,United States of America,Vermont,,,4,Fill in the blank:,I do not have any research group,Research,Lab advisor,I never worked in industry as developer,Few projects,unsure,No and I wish there were,Supervisor,"Data Visualization,Interactive learning,Data simulation,Numerical analysis,Science communication,Professional opportunities",I do not share my code online,"User experience (ease of use),Customizability,Replicability,Trusted producer",,she/they,No,White or of European descent,1,,,,Anthropology,,,coder
2022-09-21 12:16:35,2022-09-21 12:22:32,IP Address,100,356,True,2022-09-21 12:22:33,R_3JE4WvnflAVHreW,email,EN,1,"Yes, I agree to the above terms.",Graduate student,,"Food Systems M.S., Ph.D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, a little bit",Somewhat likely,I don't know,I don't know,I don't know,Not at all in important,1997,United States of America,Iowa,,,8,Fill in the blank:,I do not have any research group,I  do not know how to code,,,,,,,,,,"Too much work,I do not know where to start",she/her,No,White or of European descent,I do not have an advisor yet,,,,,,,non coder
